sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.0;7.3549;5.2097;0.1123;6.7714;7.1081;-0.1123;0.5835;-1.8984;14.7;-35.3;-7.6;219.89;-47.13;6.77;0.4;23.615;;;;;;86.0;59.0;3.0;24;2014-11-08 14:02:57:679
0.9194;6.5888;8.121;-0.0914;6.2784;7.2053;1.0107;0.3104;0.9157;14.7;-35.1;-8.4;215.94;-41.89;-1.77;0.4;23.855;;;;;;86.0;59.0;3.0;549;2014-11-08 14:02:58:204
0.1532;6.4355;7.8146;0.607;6.2894;7.8944;-0.607;-0.4668;-0.6927;8.8;-35.5;-8.7;207.96;-38.86;-5.81;0.4;24.456;;;;;;86.0;59.0;3.0;1049;2014-11-08 14:02:58:704
3.6774;11.1856;0.3065;0.6312;7.1082;4.8122;2.4333;1.779;-5.1186;4.2;-34.6;20.0;186.88;-43.39;2.05;0.4;35.331;;;;;;86.0;59.0;3.0;1549;2014-11-08 14:02:59:204
2.6049;10.2662;-2.4516;3.0239;7.4352;-1.8622;0.0406;2.831;-2.1217;7.4;-28.3;23.9;104.18;-64.47;-121.63;0.0;63.694;;;;;;86.0;59.0;3.0;2049;2014-11-08 14:02:59:704
3.2178;10.4194;0.7661;3.6205;9.8271;-0.4482;-0.4028;0.5924;1.2143;6.2;-31.8;18.4;128.22;-69.63;-97.06;0.0;34.131;;;;;;86.0;59.0;3.0;2550;2014-11-08 14:03:00:205
1.6855;10.4194;0.6129;2.6967;10.168;1.1325;-1.0112;0.2514;-0.5195;8.0;-31.1;20.2;142.18;-68.54;-79.61;0.0;41.812;;;;;;86.0;59.0;3.0;3054;2014-11-08 14:03:00:709
2.1452;8.8872;0.4597;1.6441;10.1432;1.2111;0.501;-1.256;-0.7514;4.3;-32.2;18.8;150.38;-79.4;-49.74;0.0;45.976;;;;;;86.0;59.0;3.0;3577;2014-11-08 14:03:01:232
3.6774;9.8065;-0.3065;2.6238;10.2705;0.9298;1.0536;-0.464;-1.2362;-2.2;-32.0;19.6;123.66;-74.84;-70.49;0.0;37.292;;;;;;86.0;59.0;3.0;4079;2014-11-08 14:03:01:734
0.6129;6.8952;4.1371;1.6516;9.9543;1.4854;-1.0387;-3.059;2.6517;0.0;-37.3;1.7;147.25;-73.99;-67.66;0.4;31.911;;;;;;86.0;59.0;3.0;4579;2014-11-08 14:03:02:234
