sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.3065;5.8226;7.3549;-0.8924;6.7261;6.3978;0.5859;-0.9035;0.9571;-1.3;-36.8;-9.6;172.62;-54.96;4.04;0.4;26.617;;;;;;86.0;59.0;3.0;5080;2014-11-08 14:03:02:735
-0.1532;5.9759;8.121;-0.5049;5.6767;7.7724;1.1178;0.4524;-0.1111;-1.8;-37.6;-11.5;173.27;-36.58;4.42;0.4;24.376;;;;;;86.0;59.0;3.0;5590;2014-11-08 14:03:03:245
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;-2.0;-37.1;-11.2;173.82;-36.23;2.79;0.4;24.006;;;;;;86.0;59.0;3.0;6090;2014-11-08 14:03:03:745
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;10.7;-29.1;24.0;198.08;-36.23;2.79;0.4;25.303;;;;;;86.0;59.0;3.0;6590;2014-11-08 14:03:04:245
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;14.2;-27.2;23.5;203.09;-36.23;2.79;0.0;47.107;;;;;;86.0;59.0;3.0;7091;2014-11-08 14:03:04:746
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;15.2;-24.0;20.4;198.6;-36.23;2.79;0.0;48.253;;;;;;86.0;59.0;3.0;7591;2014-11-08 14:03:05:246
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;11.0;-23.0;23.9;200.56;-36.23;2.79;0.0;46.351;;;;;;86.0;59.0;3.0;8091;2014-11-08 14:03:05:746
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;18.3;-20.8;22.8;206.93;-36.23;2.79;0.0;37.984;;;;;;86.0;59.0;3.0;8591;2014-11-08 14:03:06:246
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;4.4;-25.7;22.2;188.51;-36.23;2.79;0.0;57.685;;;;;;86.0;59.0;3.0;9092;2014-11-08 14:03:06:747
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;3.2;-29.2;16.3;188.24;-36.23;2.79;0.0;39.91;;;;;;86.0;59.0;3.0;9592;2014-11-08 14:03:07:247
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;8.3;-29.2;10.4;196.26;-36.23;2.79;0.0;32.52;;;;;;86.0;59.0;3.0;10093;2014-11-08 14:03:07:748
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;9.9;-28.1;13.2;198.79;-36.23;2.79;0.0;28.178;;;;;;86.0;59.0;3.0;10594;2014-11-08 14:03:08:249
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;9.6;-25.0;17.1;199.88;-36.23;2.79;0.0;26.846;;;;;;86.0;59.0;3.0;11094;2014-11-08 14:03:08:749
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;3.3;-25.4;19.8;193.9;-36.23;2.79;0.0;30.721;;;;;;86.0;59.0;3.0;11594;2014-11-08 14:03:09:249
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;-16.4;-24.7;15.6;159.93;-36.23;2.79;0.0;32.84;;;;;;86.0;59.0;3.0;12094;2014-11-08 14:03:09:749
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;-17.9;-23.1;14.7;146.23;-36.23;2.79;0.0;33.736;;;;;;86.0;59.0;3.0;12594;2014-11-08 14:03:10:249
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;-22.9;-21.3;10.7;137.04;-36.23;2.79;0.0;35.499;;;;;;86.0;59.0;3.0;13094;2014-11-08 14:03:10:749
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;-23.4;-20.2;10.3;134.27;-36.23;2.79;0.0;31.84;;;;;;86.0;59.0;3.0;13594;2014-11-08 14:03:11:249
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;-18.9;-19.8;15.7;145.14;-36.23;2.79;0.0;31.588;;;;;;86.0;59.0;3.0;14094;2014-11-08 14:03:11:749
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;-11.7;-20.0;19.4;148.79;-36.23;2.79;0.0;29.147;;;;;;86.0;59.0;3.0;14595;2014-11-08 14:03:12:250
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;9.6;-27.0;17.7;198.69;-36.23;2.79;0.0;28.691;;;;;;86.0;59.0;3.0;15095;2014-11-08 14:03:12:750
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;6.5;-25.7;19.5;195.59;-36.23;2.79;0.0;28.903;;;;;;86.0;59.0;3.0;15595;2014-11-08 14:03:13:250
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;4.7;-26.0;21.1;190.26;-36.23;2.79;0.0;25.518;;;;;;86.0;59.0;3.0;16096;2014-11-08 14:03:13:751
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;4.2;-25.3;21.4;188.79;-36.23;2.79;0.0;25.025;;;;;;86.0;59.0;3.0;16596;2014-11-08 14:03:14:251
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;4.2;-24.5;22.3;188.93;-36.23;2.79;0.0;24.839;;;;;;86.0;59.0;3.0;17097;2014-11-08 14:03:14:752
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;5.3;-24.5;22.5;190.56;-36.23;2.79;0.0;24.62;;;;;;86.0;59.0;3.0;17598;2014-11-08 14:03:15:253
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;6.1;-24.3;22.3;192.38;-36.23;2.79;0.0;27.795;;;;;;86.0;59.0;3.0;18098;2014-11-08 14:03:15:753
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;6.1;-24.3;22.3;192.38;-36.23;2.79;0.0;24.929;;;;;;86.0;59.0;3.0;18598;2014-11-08 14:03:16:253
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;6.3;-24.3;22.1;192.38;-36.23;2.79;0.0;24.937;;;;;;86.0;59.0;3.0;19098;2014-11-08 14:03:16:753
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;6.7;-24.3;22.1;194.08;-36.23;2.79;0.0;25.415;;;;;;86.0;59.0;3.0;19598;2014-11-08 14:03:17:253
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;6.5;-24.3;22.1;194.08;-36.23;2.79;0.0;28.202;;;;;;86.0;59.0;3.0;20098;2014-11-08 14:03:17:753
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;6.5;-24.3;22.3;194.08;-36.23;2.79;0.0;25.422;;;;;;86.0;59.0;3.0;20598;2014-11-08 14:03:18:253
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;7.3;-23.9;22.5;193.92;-36.23;2.79;0.0;25.327;;;;;;86.0;59.0;3.0;21098;2014-11-08 14:03:18:753
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;7.7;-23.9;22.5;195.57;-36.23;2.79;0.0;29.428;;;;;;86.0;59.0;3.0;21598;2014-11-08 14:03:19:253
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;7.1;-23.9;22.5;193.92;-36.23;2.79;0.0;26.626;;;;;;86.0;59.0;3.0;22098;2014-11-08 14:03:19:753
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;6.0;-23.7;22.7;192.25;-36.23;2.79;0.0;32.332;;;;;;86.0;59.0;3.0;22598;2014-11-08 14:03:20:253
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;1.0;-23.3;23.3;183.78;-36.23;2.79;0.0;27.043;;;;;;86.0;59.0;3.0;23098;2014-11-08 14:03:20:753
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;0.3;-22.9;23.5;182.05;-36.23;2.79;0.0;27.906;;;;;;86.0;59.0;3.0;23598;2014-11-08 14:03:21:253
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;-0.1;-23.3;23.3;182.0;-36.23;2.79;0.0;27.031;;;;;;86.0;59.0;3.0;24099;2014-11-08 14:03:21:754
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;2.6;-23.7;22.9;185.42;-36.23;2.79;0.0;28.836;;;;;;86.0;59.0;3.0;24599;2014-11-08 14:03:22:254
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;3.2;-23.9;22.9;187.14;-36.23;2.79;0.0;29.279;;;;;;86.0;59.0;3.0;25100;2014-11-08 14:03:22:755
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;3.9;-23.7;23.1;188.86;-36.23;2.79;0.0;28.187;;;;;;86.0;59.0;3.0;25601;2014-11-08 14:03:23:256
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;3.9;-23.7;23.1;188.86;-36.23;2.79;0.0;30.648;;;;;;86.0;59.0;3.0;26101;2014-11-08 14:03:23:756
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;4.5;-25.2;21.1;190.51;-36.23;2.79;0.0;29.651;;;;;;86.0;59.0;3.0;26601;2014-11-08 14:03:24:256
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;3.0;-25.4;21.1;187.05;-36.23;2.79;0.0;29.839;;;;;;86.0;59.0;3.0;27102;2014-11-08 14:03:24:757
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;2.4;-25.0;21.6;187.05;-36.23;2.79;0.0;27.399;;;;;;86.0;59.0;3.0;27602;2014-11-08 14:03:25:257
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;3.3;-24.4;22.2;187.19;-36.23;2.79;0.0;27.924;;;;;;86.0;59.0;3.0;28102;2014-11-08 14:03:25:757
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;4.2;-24.0;22.6;188.86;-36.23;2.79;0.0;31.804;;;;;;86.0;59.0;3.0;28602;2014-11-08 14:03:26:257
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;4.6;-23.8;23.0;190.56;-36.23;2.79;0.0;29.133;;;;;;86.0;59.0;3.0;29102;2014-11-08 14:03:26:757
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;4.8;-23.4;23.2;190.56;-36.23;2.79;0.0;28.976;;;;;;86.0;59.0;3.0;29603;2014-11-08 14:03:27:258
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;9.0;-21.6;24.1;197.79;-36.23;2.79;0.0;38.351;;;;;;86.0;59.0;3.0;30104;2014-11-08 14:03:27:759
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;9.2;-20.5;25.1;197.99;-36.23;2.79;0.0;26.978;;;;;;86.0;59.0;3.0;30604;2014-11-08 14:03:28:259
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;9.6;-20.1;25.5;199.84;-36.23;2.79;0.0;26.855;;;;;;86.0;59.0;3.0;31104;2014-11-08 14:03:28:759
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;9.6;-20.1;25.3;199.84;-36.23;2.79;0.0;25.736;;;;;;86.0;59.0;3.0;31604;2014-11-08 14:03:29:259
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;9.8;-20.1;25.3;200.11;-36.23;2.79;0.0;26.339;;;;;;86.0;59.0;3.0;32104;2014-11-08 14:03:29:759
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;10.0;-20.1;25.3;200.11;-36.23;2.79;0.0;26.806;;;;;;86.0;59.0;3.0;32605;2014-11-08 14:03:30:260
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;10.0;-19.9;25.5;199.84;-36.23;2.79;0.0;30.258;;;;;;86.0;59.0;3.0;33105;2014-11-08 14:03:30:760
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;10.2;-19.7;25.5;199.84;-36.23;2.79;0.0;26.805;;;;;;86.0;59.0;3.0;33605;2014-11-08 14:03:31:260
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;10.4;-19.9;25.5;199.84;-36.23;2.79;0.0;28.806;;;;;;86.0;59.0;3.0;34105;2014-11-08 14:03:31:760
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;10.4;-20.5;25.1;200.11;-36.23;2.79;0.0;32.0;;;;;;86.0;59.0;3.0;34605;2014-11-08 14:03:32:260
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;6.1;-20.9;24.7;192.88;-36.23;2.79;0.0;33.649;;;;;;86.0;59.0;3.0;35105;2014-11-08 14:03:32:760
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;-12.5;-21.8;19.1;165.3;-36.23;2.79;0.0;40.338;;;;;;86.0;59.0;3.0;35605;2014-11-08 14:03:33:260
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;-22.1;-22.0;9.0;137.73;-36.23;2.79;0.0;34.725;;;;;;86.0;59.0;3.0;36105;2014-11-08 14:03:33:760
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;-24.8;-21.4;4.8;134.88;-36.23;2.79;0.0;33.542;;;;;;86.0;59.0;3.0;36605;2014-11-08 14:03:34:260
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;-25.2;-20.5;4.2;127.79;-36.23;2.79;0.0;35.836;;;;;;86.0;59.0;3.0;37105;2014-11-08 14:03:34:760
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;-25.5;-20.1;8.8;130.43;-36.23;2.79;0.0;32.666;;;;;;86.0;59.0;3.0;37605;2014-11-08 14:03:35:260
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;-25.3;-21.1;7.0;131.5;-36.23;2.79;0.0;30.53;;;;;;86.0;59.0;3.0;38105;2014-11-08 14:03:35:760
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;-24.3;-22.6;8.8;136.22;-36.23;2.79;0.0;39.609;;;;;;86.0;59.0;3.0;38605;2014-11-08 14:03:36:260
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;-23.1;-23.4;12.8;140.28;-36.23;2.79;0.0;37.731;;;;;;86.0;59.0;3.0;39106;2014-11-08 14:03:36:761
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;-18.3;-23.0;18.2;145.39;-36.23;2.79;0.0;37.207;;;;;;86.0;59.0;3.0;39606;2014-11-08 14:03:37:261
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;-4.6;-23.8;21.9;173.12;-36.23;2.79;0.0;29.286;;;;;;86.0;59.0;3.0;40106;2014-11-08 14:03:37:761
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;7.8;-28.2;20.1;193.27;-36.23;2.79;0.0;33.231;;;;;;86.0;59.0;3.0;40607;2014-11-08 14:03:38:262
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;9.4;-27.3;21.0;196.45;-36.23;2.79;0.0;30.373;;;;;;86.0;59.0;3.0;41107;2014-11-08 14:03:38:762
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;10.3;-28.4;19.6;196.27;-36.23;2.79;0.0;30.794;;;;;;86.0;59.0;3.0;41607;2014-11-08 14:03:39:262
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;13.5;-29.2;17.0;204.16;-36.23;2.79;0.0;28.611;;;;;;86.0;59.0;3.0;42107;2014-11-08 14:03:39:762
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;13.6;-29.2;16.4;204.47;-36.23;2.79;0.0;34.388;;;;;;86.0;59.0;3.0;42607;2014-11-08 14:03:40:262
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;19.0;-29.0;13.2;212.72;-36.23;2.79;0.0;29.822;;;;;;86.0;59.0;3.0;43107;2014-11-08 14:03:40:762
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;19.2;-28.4;14.2;214.31;-36.23;2.79;0.0;32.328;;;;;;86.0;59.0;3.0;43607;2014-11-08 14:03:41:262
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;20.4;-28.0;8.8;216.77;-36.23;2.79;0.0;30.121;;;;;;86.0;59.0;3.0;44107;2014-11-08 14:03:41:762
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;21.5;-28.2;9.6;219.42;-36.23;2.79;0.0;35.853;;;;;;86.0;59.0;3.0;44607;2014-11-08 14:03:42:262
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;19.9;-29.3;8.8;215.97;-36.23;2.79;0.0;30.537;;;;;;86.0;59.0;3.0;45107;2014-11-08 14:03:42:762
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;19.8;-29.7;10.2;217.03;-36.23;2.79;0.0;33.447;;;;;;86.0;59.0;3.0;45607;2014-11-08 14:03:43:262
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;15.2;-30.1;12.0;206.77;-36.23;2.79;0.0;31.775;;;;;;86.0;59.0;3.0;46107;2014-11-08 14:03:43:762
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;19.9;-30.3;10.4;214.72;-36.23;2.79;0.0;33.801;;;;;;86.0;59.0;3.0;46607;2014-11-08 14:03:44:262
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;13.8;-30.3;13.6;204.58;-36.23;2.79;0.0;29.667;;;;;;86.0;59.0;3.0;47107;2014-11-08 14:03:44:762
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;13.8;-29.9;16.4;203.95;-36.23;2.79;0.0;30.911;;;;;;86.0;59.0;3.0;47608;2014-11-08 14:03:45:263
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;11.6;-29.1;18.0;200.91;-36.23;2.79;0.0;28.59;;;;;;86.0;59.0;3.0;48108;2014-11-08 14:03:45:763
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;7.4;-28.2;20.5;191.62;-36.23;2.79;0.0;31.932;;;;;;86.0;59.0;3.0;48608;2014-11-08 14:03:46:263
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;7.6;-27.2;21.1;194.87;-36.23;2.79;0.0;29.655;;;;;;86.0;59.0;3.0;49108;2014-11-08 14:03:46:763
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;4.3;-26.4;21.8;189.94;-36.23;2.79;0.0;34.217;;;;;;86.0;59.0;3.0;49608;2014-11-08 14:03:47:263
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;9.3;-26.2;22.1;196.62;-36.23;2.79;0.0;29.295;;;;;;86.0;59.0;3.0;50108;2014-11-08 14:03:47:763
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;3.8;-26.2;22.1;190.17;-36.23;2.79;0.0;31.114;;;;;;86.0;59.0;3.0;50608;2014-11-08 14:03:48:263
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;4.8;-26.0;22.8;190.08;-36.23;2.79;0.0;32.513;;;;;;86.0;59.0;3.0;51108;2014-11-08 14:03:48:763
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;0.3;-25.8;23.0;185.16;-36.23;2.79;0.0;29.006;;;;;;86.0;59.0;3.0;51609;2014-11-08 14:03:49:264
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;2.4;-25.8;22.8;185.16;-36.23;2.79;0.0;29.468;;;;;;86.0;59.0;3.0;52109;2014-11-08 14:03:49:764
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;0.9;-25.6;23.0;186.81;-36.23;2.79;0.0;29.995;;;;;;86.0;59.0;3.0;52609;2014-11-08 14:03:50:264
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;-3.7;-25.8;22.6;175.26;-36.23;2.79;0.0;28.621;;;;;;86.0;59.0;3.0;53110;2014-11-08 14:03:50:765
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;-0.3;-26.5;22.1;183.49;-36.23;2.79;0.0;31.898;;;;;;86.0;59.0;3.0;53611;2014-11-08 14:03:51:266
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;-12.3;-26.5;20.8;161.99;-36.23;2.79;0.0;35.327;;;;;;86.0;59.0;3.0;54111;2014-11-08 14:03:51:766
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;-5.5;-26.1;21.9;173.44;-36.23;2.79;0.0;32.388;;;;;;86.0;59.0;3.0;54611;2014-11-08 14:03:52:266
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;-14.3;-25.6;19.6;158.59;-36.23;2.79;0.0;32.892;;;;;;86.0;59.0;3.0;55111;2014-11-08 14:03:52:766
-0.4597;3.6774;9.5001;-0.3787;5.6982;7.7673;0.5319;0.7373;-1.1786;-9.0;-25.1;21.4;163.14;-36.23;2.79;0.0;32.125;;;;;;86.0;59.0;3.0;55611;2014-11-08 14:03:53:266
