sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.9194;3.5242;9.1936;-0.4391;4.8283;8.3268;0.7456;-0.2315;-0.972;-22.4;-28.6;-12.6;129.6;-31.35;5.77;0.4;26.686;;;;;;84.2;59.0;3.0;22;2014-11-08 14:06:58:686
0.6129;3.6774;8.2743;0.3374;3.4251;8.9323;0.4288;0.4056;-0.1983;-24.6;-26.9;-13.2;129.5;-21.16;-2.91;0.4;26.394;;;;;;84.2;59.0;3.0;527;2014-11-08 14:06:59:191
0.6129;3.8307;8.4275;0.54;3.9379;8.6096;0.0729;-0.1073;-0.1821;-24.6;-26.3;-13.9;125.54;-24.54;-3.59;0.4;27.191;;;;;;84.2;59.0;3.0;1027;2014-11-08 14:06:59:691
-0.4597;1.0726;6.4355;0.4196;3.8583;8.4784;-0.8793;-2.7857;-2.0429;-31.3;18.1;8.5;67.05;-24.44;-2.83;0.4;26.644;;;;;;84.2;59.0;3.0;1527;2014-11-08 14:07:00:191
-0.4597;1.0726;6.4355;0.4196;3.8583;8.4784;-0.8793;-2.7857;-2.0429;17.7;27.0;17.3;315.08;-24.44;-2.83;0.0;38.082;;;;;;84.2;59.0;3.0;2027;2014-11-08 14:07:00:691
-0.4597;1.0726;6.4355;0.4196;3.8583;8.4784;-0.8793;-2.7857;-2.0429;8.9;29.6;20.0;337.02;-24.44;-2.83;0.0;31.411;;;;;;84.2;59.0;3.0;2528;2014-11-08 14:07:01:192
-0.4597;1.0726;6.4355;0.4196;3.8583;8.4784;-0.8793;-2.7857;-2.0429;11.5;31.2;16.4;332.35;-24.44;-2.83;0.0;33.185;;;;;;84.2;59.0;3.0;3032;2014-11-08 14:07:01:696
-0.4597;1.0726;6.4355;0.4196;3.8583;8.4784;-0.8793;-2.7857;-2.0429;14.6;29.6;16.9;324.71;-24.44;-2.83;0.0;32.04;;;;;;84.2;59.0;3.0;3532;2014-11-08 14:07:02:196
-0.4597;1.0726;6.4355;0.4196;3.8583;8.4784;-0.8793;-2.7857;-2.0429;-34.2;2.5;17.3;95.9;-24.44;-2.83;0.0;28.359;;;;;;84.2;59.0;3.0;4032;2014-11-08 14:07:02:696
-0.4597;1.0726;6.4355;0.4196;3.8583;8.4784;-0.8793;-2.7857;-2.0429;-26.7;-22.4;18.9;134.4;-24.44;-2.83;0.0;51.078;;;;;;84.2;59.0;3.0;4533;2014-11-08 14:07:03:197
-0.4597;1.0726;6.4355;0.4196;3.8583;8.4784;-0.8793;-2.7857;-2.0429;-18.7;-24.6;25.0;148.28;-24.44;-2.83;0.0;64.458;;;;;;84.2;59.0;3.0;5033;2014-11-08 14:07:03:697
-0.4597;1.0726;6.4355;0.4196;3.8583;8.4784;-0.8793;-2.7857;-2.0429;-23.2;-26.2;18.7;142.4;-24.44;-2.83;0.0;31.085;;;;;;84.2;59.0;3.0;5534;2014-11-08 14:07:04:198
-0.4597;1.0726;6.4355;0.4196;3.8583;8.4784;-0.8793;-2.7857;-2.0429;-23.1;-28.6;10.2;140.32;-24.44;-2.83;0.0;29.845;;;;;;84.2;59.0;3.0;6035;2014-11-08 14:07:04:699
-0.4597;1.0726;6.4355;0.4196;3.8583;8.4784;-0.8793;-2.7857;-2.0429;-22.0;-14.1;27.4;134.96;-24.44;-2.83;0.0;43.347;;;;;;84.2;59.0;3.0;6535;2014-11-08 14:07:05:199
-0.4597;1.0726;6.4355;0.4196;3.8583;8.4784;-0.8793;-2.7857;-2.0429;-26.3;-16.0;20.6;130.06;-24.44;-2.83;0.0;44.311;;;;;;84.2;59.0;3.0;7035;2014-11-08 14:07:05:699
-0.4597;1.0726;6.4355;0.4196;3.8583;8.4784;-0.8793;-2.7857;-2.0429;-20.9;0.5;26.1;112.91;-24.44;-2.83;0.0;39.57;;;;;;84.2;59.0;3.0;7535;2014-11-08 14:07:06:199
-0.4597;1.0726;6.4355;0.4196;3.8583;8.4784;-0.8793;-2.7857;-2.0429;-16.2;-5.7;23.4;130.54;-24.44;-2.83;0.0;44.044;;;;;;84.2;59.0;3.0;8035;2014-11-08 14:07:06:699
-0.4597;1.0726;6.4355;0.4196;3.8583;8.4784;-0.8793;-2.7857;-2.0429;-16.9;-11.9;17.6;135.23;-24.44;-2.83;0.0;49.899;;;;;;84.2;59.0;3.0;8535;2014-11-08 14:07:07:199
