sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.1532;5.5162;8.8872;0.2716;5.6431;7.8344;-0.1183;-0.1269;1.0528;-5.7;-37.9;-5.8;168.05;-38.13;-4.78;0.4;28.97;;;;;;84.2;59.0;3.0;11;2014-11-08 14:06:09:260
-1.992;6.742;6.8952;-0.5066;7.1621;6.887;-1.4854;-0.4201;0.0082;-7.4;-38.3;-4.6;162.39;-46.04;4.21;0.4;29.52;;;;;;84.2;59.0;3.0;514;2014-11-08 14:06:09:763
-2.7581;5.2097;5.6694;-1.6441;6.5588;5.6487;-1.114;-1.349;0.0207;-7.5;-38.1;-3.1;168.88;-49.37;12.58;0.4;28.573;;;;;;84.2;59.0;3.0;1014;2014-11-08 14:06:10:263
-0.9194;6.742;7.0484;-1.7785;5.8405;7.7584;0.8592;0.9015;-0.7099;-7.7;-37.9;-3.0;164.22;-36.27;12.91;0.4;27.546;;;;;;84.2;59.0;3.0;1514;2014-11-08 14:06:10:763
-2.9113;7.3549;6.4355;-1.4031;6.5046;7.3659;-1.5082;0.8503;-0.9303;-3.8;-34.4;24.7;181.02;-40.94;10.79;0.4;30.199;;;;;;84.2;59.0;3.0;2189;2014-11-08 14:06:11:438
-2.9113;7.3549;6.4355;-1.4031;6.5046;7.3659;-1.5082;0.8503;-0.9303;-14.8;-26.9;26.9;166.27;-40.94;10.79;0.0;56.358;;;;;;84.2;59.0;3.0;2690;2014-11-08 14:06:11:939
-2.9113;7.3549;6.4355;-1.4031;6.5046;7.3659;-1.5082;0.8503;-0.9303;-13.7;-26.7;27.1;170.02;-40.94;10.79;0.0;43.244;;;;;;84.2;59.0;3.0;3190;2014-11-08 14:06:12:439
-2.9113;7.3549;6.4355;-1.4031;6.5046;7.3659;-1.5082;0.8503;-0.9303;-14.0;-26.4;28.5;168.25;-40.94;10.79;0.0;29.679;;;;;;84.2;59.0;3.0;3691;2014-11-08 14:06:12:940
-2.9113;7.3549;6.4355;-1.4031;6.5046;7.3659;-1.5082;0.8503;-0.9303;-13.4;-26.4;28.6;169.57;-40.94;10.79;0.0;33.471;;;;;;84.2;59.0;3.0;4191;2014-11-08 14:06:13:440
-2.9113;7.3549;6.4355;-1.4031;6.5046;7.3659;-1.5082;0.8503;-0.9303;-4.9;-26.9;29.2;180.74;-40.94;10.79;0.0;31.913;;;;;;84.2;59.0;3.0;4691;2014-11-08 14:06:13:940
-2.9113;7.3549;6.4355;-1.4031;6.5046;7.3659;-1.5082;0.8503;-0.9303;-4.8;-27.3;30.2;181.0;-40.94;10.79;0.0;30.238;;;;;;84.2;59.0;3.0;5191;2014-11-08 14:06:14:440
-2.9113;7.3549;6.4355;-1.4031;6.5046;7.3659;-1.5082;0.8503;-0.9303;-3.9;-27.1;31.0;182.62;-40.94;10.79;0.0;30.363;;;;;;84.2;59.0;3.0;5691;2014-11-08 14:06:14:940
-2.9113;7.3549;6.4355;-1.4031;6.5046;7.3659;-1.5082;0.8503;-0.9303;1.5;-27.3;30.3;190.87;-40.94;10.79;0.0;28.888;;;;;;84.2;59.0;3.0;6191;2014-11-08 14:06:15:440
-2.9113;7.3549;6.4355;-1.4031;6.5046;7.3659;-1.5082;0.8503;-0.9303;1.8;-28.1;29.6;190.67;-40.94;10.79;0.0;29.43;;;;;;84.2;59.0;3.0;6692;2014-11-08 14:06:15:941
-2.9113;7.3549;6.4355;-1.4031;6.5046;7.3659;-1.5082;0.8503;-0.9303;2.4;-29.5;26.9;190.19;-40.94;10.79;0.0;33.713;;;;;;84.2;59.0;3.0;7192;2014-11-08 14:06:16:441
-2.9113;7.3549;6.4355;-1.4031;6.5046;7.3659;-1.5082;0.8503;-0.9303;5.5;-30.1;27.5;195.57;-40.94;10.79;0.0;31.77;;;;;;84.2;59.0;3.0;7692;2014-11-08 14:06:16:941
-2.9113;7.3549;6.4355;-1.4031;6.5046;7.3659;-1.5082;0.8503;-0.9303;3.1;-26.5;29.3;192.45;-40.94;10.79;0.0;29.18;;;;;;84.2;59.0;3.0;8193;2014-11-08 14:06:17:442
-2.9113;7.3549;6.4355;-1.4031;6.5046;7.3659;-1.5082;0.8503;-0.9303;3.7;-21.1;29.9;194.77;-40.94;10.79;0.0;32.929;;;;;;84.2;59.0;3.0;8694;2014-11-08 14:06:17:943
-2.9113;7.3549;6.4355;-1.4031;6.5046;7.3659;-1.5082;0.8503;-0.9303;-16.6;-15.2;27.4;169.36;-40.94;10.79;0.0;29.203;;;;;;84.2;59.0;3.0;9194;2014-11-08 14:06:18:443
-2.9113;7.3549;6.4355;-1.4031;6.5046;7.3659;-1.5082;0.8503;-0.9303;-18.8;-12.8;24.9;151.54;-40.94;10.79;0.0;29.929;;;;;;84.2;59.0;3.0;9694;2014-11-08 14:06:18:943
